scen_id,src_node,node_id,peak_conc,t_peak_min,mean_flow_m3s,mean_vel_ms,detected
0025,J4,J9,10583.1591,868.0,0.000124,0.0,1
0025,J4,J10,10172.1605,884.0,0.000127,0.0,1
0025,J4,SU1,8243.1555,893.0,0.000122,0.0,1
0025,J4,J_out,8243.1555,894.0,4e-06,0.0,1
0025,J4,O2,8166.7517,906.0,4e-06,0.0,1
0026,J10,J1,0.0,,0.0,0.0,0
0026,J10,J5,0.0,,0.0,0.0,0
0026,J10,J2,0.0,,0.0,0.0,0
0026,J10,J11,2045.7274,485.0,0.000137,0.0,1
0026,J10,J3,0.0,,0.0,0.0,0
0026,J10,J4,0.0,,0.0,0.0,0
0026,J10,J6,0.0,,0.0,0.0,0
0026,J10,J7,0.0,,0.0,0.0,0
0026,J10,J8,0.0,,0.0,0.0,0
0026,J10,J9,0.0,,0.0,0.0,0
0026,J10,J10,2045.728,168.0,0.000138,0.0,1
0026,J10,SU1,0.0,,0.00022,0.0,0
0026,J10,J_out,0.0,,1.8e-05,0.0,0
0026,J10,O2,0.0,,1.8e-05,0.0,0
0027,J2,J1,0.0,,0.0,0.0,0
0027,J2,J5,0.0,,0.0,0.0,0
0027,J2,J2,4181.601,208.0,9.8e-05,0.0,1
0027,J2,J11,4152.092,268.0,9.9e-05,0.0,1
0027,J2,J3,0.0,,0.0,0.0,0
0027,J2,J4,0.0,,0.0,0.0,0
0027,J2,J6,0.0,,0.0,0.0,0
0027,J2,J7,0.0,,0.0,0.0,0
0027,J2,J8,0.0,,0.0,0.0,0
0027,J2,J9,0.0,,0.0,0.0,0
0027,J2,J10,0.0,,0.0,0.0,0
0027,J2,SU1,0.0,,0.001844,0.0,0
0027,J2,J_out,0.0,,0.000385,0.0,0
0027,J2,O2,0.0,,0.000381,0.0,0
0028,J6,J1,0.0,,0.0,0.0,0
0028,J6,J5,0.0,,0.0,0.0,0
0028,J6,J2,0.0,,0.0,0.0,0
0028,J6,J11,2000.7469,894.0,0.000145,0.0,1
